"Method","FD","Y1","Y2"
"Theoretical",1,0.849279675903502,0.785974586484724
"Theoretical",2,0.674639837951751,0.642987293242362
"Theoretical",3,0.616426558634501,0.595324862161575
"Theoretical",4,0.587319918975876,0.571493646621181
"Theoretical",5,0.5698559351807,0.557194917296945
"Theoretical",6,0.55821327931725,0.547662431080787
"Theoretical",7,0.549897096557643,0.540853512354961
"Theoretical",8,0.543659959487938,0.535746823310591
"Theoretical",9,0.538808852878167,0.531774954053858
"Theoretical",10,0.53492796759035,0.528597458648472
"Theoretical",11,0.531752697809409,0.525997689680429
"Theoretical",12,0.529106639658625,0.523831215540394
"Theoretical",13,0.526867667377192,0.52199804511421
"Theoretical",14,0.524948548278822,0.52042675617748
"Theoretical",15,0.5232853117269,0.519064972432315
"Theoretical",16,0.521829979743969,0.517873411655295
"Theoretical",17,0.520545863288441,0.516822034499101
"Theoretical",18,0.519404426439083,0.515887477026929
"Theoretical",19,0.518383140837026,0.515051294025512
"Theoretical",20,0.517463983795175,0.514298729324236
